full_sample_id,date,species,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,3,78.687,40.413,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,3,87.237,45.301,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,3,98.323,48.466,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,4,106.618,56.057,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,4,114.498,76.98,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,4,119.731,65.652,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,5,146.259,67.73,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,5,81.23,67.461,50,
AP-2-5,8/3/22,Astrangia poculata,Field,AP-2-5-83.vsi,14,PP,3.6526,microns,male,5,96.326,88.233,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,3,120.373,33.555,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,3,88.424,60.729,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,3,82.51,29.994,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,4,140.124,55.653,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,4,83.442,22.47,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,4,88.322,31.76,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,5,126.023,46.361,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,5,142.648,64.728,50,
AP-8-2,8/3/22,Astrangia poculata,Field,AP-8-2-83.vsi,14,PP,3.6526,microns,male,5,87.441,32.938,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,3,91.32,28.141,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,3,70.05,61.7,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,3,92.033,63.246,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,4,117.14,24.181,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,4,112.257,31.015,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,4,113.798,59.137,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,5,171.723,76.208,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,5,81.77,76.948,50,
AP-8-4,8/3/22,Astrangia poculata,Field,AP-8-4-83.vsi,14,PP,3.6526,microns,male,5,132.195,98.751,50,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,3,77.471,31.896,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,3,61.837,34.02,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,3,42.22,22.073,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,4,85.541,51.985,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,4,95.524,39.429,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,4,75.787,46.107,16,
AP-8-5,8/3/22,Astrangia poculata,Field,AP-8-5-83.vsi,14,PP,3.6526,microns,female,5,137.571,88.011,16,
AP-1-2,8/9/22,Astrangia poculata,Field,AP-1-2-89.vsi,14,PP,3.6526,microns,female,1,19.788,14.078,50,
AP-1-2,8/9/22,Astrangia poculata,Field,AP-1-2-89.vsi,14,PP,3.6526,microns,female,1,21.882,16.169,50,
AP-1-2,8/9/22,Astrangia poculata,Field,AP-1-2-89.vsi,14,PP,3.6526,microns,female,1,19.126,13.689,50,
